ID,Work Item Type,Title 1,Title 2,Title 3,Assigned To,State,Description,Acceptance Criteria,Effort
"","Epic","Template project standard backlogs",,,,"New",,,
"","Feature",,"Maintenance takeover",,,"New","<div><div>This should help every agile project to ensure prerequisites are fulfilled in order to handover to maintenance. Topics covered are DeliveryFit related maintenance topics and lessons learned from previous&nbsp; projects.<br> </div><span></span><br> </div>","<div><span><br></span><div><ul><li>Final decision for maintenance takeover by Operations team lead </li> </ul> </div><span></span><br> </div>",
"","User Story",,,"Identify maintenance provider and request a maintenance contract",,"New","<div><span style=""box-sizing:border-box;"">As a product manager, I want to prepare a maintenance contract and work with service management.<br style=""box-sizing:border-box;""></span><div style=""box-sizing:border-box;""><br style=""box-sizing:border-box;""> </div><div style=""box-sizing:border-box;"">Recommendations:<br style=""box-sizing:border-box;""> </div><div style=""box-sizing:border-box;"">Who: Product manager (project mgr) + Service Delivery Mgr.<br style=""box-sizing:border-box;""> </div><div style=""box-sizing:border-box;"">When: Start 2 months before 1st go-live<br style=""box-sizing:border-box;""> </div><div style=""box-sizing:border-box;"">Remarks: - </div><br> <div><br>Estimated Effort: 0.5 h<br> </div></div>","<div><div><ul><li><span>Maintenance SOW (Statement of Work) is ready </span> </li> </ul><span></span><br> </div><span></span><br> </div>","0.5"
"","User Story",,,"Application Handover Document",,"New","<div><span>As a product manager, I need to prepare the Application Handover Wiki pages with the following content:<br></span><div>0) Create Structure in wiki, like described here. Existing applications as example<br> </div><div>1) Initial Application Architecture Overview <br> </div><div>2) Environment Configuration Management <br> </div><div>3) Deployment Strategy (PM: Really needed or only if not like BI Foundation standard?)<br> </div><div>4) Development (PM: Really needed or only if not like BI Foundation standard?)<br> </div><div>PM: Word document mentions other chapters?<br> </div><div><br> </div><div>Recommendations:<br> </div><div>Who: Anybody in team<br> </div><div>When: Project start. Detach single tasks or rework for later sprints<br> </div><div>Remarks: Feel free to split this backlog in several backlogs!<br> <div><br>Estimated Effort: 6h<br> </div></div><span></span><br> </div>","<div><ul><li><span>Application Handover details available in wiki page</span> </li> </ul><span></span><br> </div>","6"
"","User Story",,,"SLAs/KPIs agreed with Business",,"New","<div><span>As a product manager, I need to document the KPIs/SLAs agreed with Business.<br></span><div>Link to KPI/SLA list<br> </div><div>1) Clarify expectation from business on SLAs (Data availability, completeness, correctness, report performance) at ​beginning of the project by defining draft targets<br> </div><div>2) Check baseline for BI SLAs and create improvement backlog items if targets not achieved. This is at any time of the project, e.g. EDW (Enterprise Data Warehouse) prod go-live.<br> </div><div>3) Sign-off together with BU &amp; Ops lead final SLA targets with 1st go-live<br> </div><div><br> </div><div>Recommendations:<br> </div><div>Who: Product manager (project mgr) + Service delivery mgr<br> </div><div>When: 1 month before 1st go-live<br> </div><div>Remarks: Alignment with Provider Mgmt team lead to be done upfront. Feel free to separate in several backlog items<br> <div><br>Estimated Effort: 1h<br> </div></div><span></span><br> </div>","<div><ul><li><span>Documentation of agreed targets, sign-offs and baseline.</span> </li> </ul><span></span><br> </div>","1"
"","User Story",,,"Support Contacts & Configuration",,"New","<div><span>As a product manager, I need to share the list of Key Business Users who are responsible and application links to maintenance team.<br></span><div><br> </div><div>Recommendations:<br> </div><div>Who: Product manager (project mgr) + future MSO (Managed Service Owner)<br> </div><div>When: 1 month before 1st go-live<br> </div><div>Remarks: -<br> <div><br>Estimated Effort: 0.5h<br> </div></div><span></span><br> </div>","<div><span>Complete list of Key Business Users from all business units and also application links documented in WIKI.<br></span><span></span><br> </div>","0.5"
"","User Story",,,"Operational Task List",,"New","<div><span>As a product manager, I need to prepare the list of operational tasks including all the clean up or archiving tasks on regular basis which needs to be performed in the application.<br></span><div><br> </div><div>Recommendations:<br> </div><div>Who: Product manager (project mgr) + future MSO (Managed Service Owner)<br> </div><div>When: 2 month before 1st go-live<br> </div><div>Remarks: Can be copied and executed a last time in last sprint of the project.<br> <div><br>Estimated Effort: 2h<br> </div></div><span></span><br> </div>","<div><ul><li><span>Operational Task List prepared using Henkel template covering all regular tasks.</span> </li> </ul><span></span><br> </div>","2"
"","User Story",,,"Access Control Concept Document",,"New","<div><span>As a product manager, I need to prepare the complete details of Access control concept, authorization identification, authentication, access approval, and accountability of entities for this application.<br></span><div><br> </div><div>Recommendations:<br> </div><div>Who: Product manager (project mgr) + future MSO&nbsp;<span style=""display:inline !important;"">(Managed Service Owner)</span><br> </div><div>When: 1 month before 1st go-live<br> </div><div>Remarks: After first sign-off this is a living document and should be updated as needed<br> <div><br>Estimated Effort: 3h<br> </div></div><span></span><br> </div>","<div><span>Access Control Concept document using Henkel template covering scope of current implementation.<br></span><span></span><br> </div>","3"
"","User Story",,,"UNISYS Help File creation/update",,"New","<div><span>As a product manager, I need create a new help file. This is the main source for the helpdesk to assign the tickets to the correct SNOW group.<br></span><div><br> </div><div>Recommendations:<br> </div><div>Who: Product manager (project mgr) + future MSO&nbsp;<span style=""display:inline !important;"">(Managed Service Owner)</span><br> </div><div>When: 1 sprint before 1st go-live<br> </div><div>Remarks: Any special case for routing (e.g. to a SSC (Shared Service Center) team) should be documented.<br> <div><br>Estimated Effort: 0.5h<br> </div></div><span></span><br> </div>","<div><span>Filled Helpfile using Henkel template to be shared with UNISYS.<br></span><div>Same content to be copied in WIKI for reference.<br> </div><span></span><br> </div>","0.5"
"","User Story",,,"Detailed KT (Knowledge Transfer) plan",,"New","<div><span>As a product manager, I need to prepare a detailed KT (Knowledge Transfer) plan for the handover including required hours of people giving &amp; receiving the knowledge.<br></span><div><br> </div><div>Recommendations:<br> </div><div>Who: All developers<br> </div><div>When: 1-2 month before go-live<br> </div><div>Remarks: Copy backlog for each wave of go-live. This is for all items which are unknown to the future maintenance team at that point in time.<br> <div><br>Estimated Effort: 0.5h<br> </div></div><span></span><br> </div>","<div><ul><li><span>Detailed KT plan aligned with MSO (Managed Service Owner).</span> </li><li>Backlogs &amp; Invitations for KT sessions are created. </li> </ul><span></span><br> </div>","0.5"
